
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Eritrea","ERI","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","539","714","919","1018","1111","",
"Spain","ESP","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","146900","159400","167300","176400","178800","181800","184500","192700","209300","214200","207900","188700","191000","194000","184900","181700","180400","183000","207200","225500","244700","262600","289700","282200","282300","313200","332800","370400","387900","414200","485856","517481","493019","518836","549963","586438","602978","657606","616893","547971","546298.853885983","535074","471440.886886395","465558.909","486353.8","534895","566775","579842","641097","677578.545","",
"Estonia","EST","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5500","5700","5700","6500","5100","7800","11400","10600","9199","9133","8324","8522","7814","8350","8183","9214","11478","8592","12207.9705512659","13492","26778","13356","13524","13954","16179","528","1583","22","",
"Ethiopia","ETH","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","20100","20600","21400","21600","19800","16300","18600","12300","9700","8300","8100","12000","13700","14800","16000","21600","23700","24400","22900","23600","20600","20000","25000","24200","25600","26200","24800","28100","27100","24900","26624","28128","28359","27204","29546","30961","33644","37528","39804","44154","48783","57728","62136","68131","71166","83940","94330","99263","110971","119542","",
"European Union","EUU","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","1211800","1299100","1383300","1379200","1415900","1383300","1444900","1442900","1479600","1515100","1503800","1453500","1486600","1506400","1545500","1593800","1663600","1796000","1963100","2095700","2235100","2235100","2473800","2611700","2733400","2858600","3106900","3461900","3625800","3885000","4149031","4140156","3991441","4139732","4413329","4431467","4657953","4917391","4959760","4827314","4676663.80537931","4790933.6878213","4615569.45348968","4449114.909","4483220.19764928","4623877","4818987","4885812","5030659.9394902","5339982.543","",
"Fragile and conflict affected situations","FCS","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","219700","220700","229300","244200","226300","261900","278300","284800","292700","349600","359200","354900","348700","364100","391700","363400","361800","356500","373900","379400","334900","317500","324500","309400","335100","278300","284800","284100","267900","317500","339885","421177","363868","292206","322376","351147","374846","382041","373443","362039","441011.852182705","487900.133056247","468958.557918886","515000","507289.052630117","501548","496764","493763.38","498269.444543741","479906.79","",
"Finland","FIN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","44900","48400","51500","55100","60700","64300","62600","56400","60000","61100","70800","74100","72200","68900","68800","70300","66400","77300","84000","89800","93400","92000","93600","90300","91000","97000","103200","113300","119000","120700","145174","128881","108923","107026","109209","107108","114699","118686","114371","104740","132408.28422807","144467","138914.132653061","138987","140256","153849","162119","118856","125804","131089","",
"Fiji","FJI","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","15500","17600","17800","17600","12800","13200","15200","21200","19200","15500","15500","15700","15800","14200","13100","23700","23600","23500","23200","27200","27000","31000","32600","33600","86900","87900","57300","57776","62768","37685","38732","36920","41886","46866","46359","46467","45595","26127","18142","16011.2858124356","11748","19140","19487","20906","21855","24134","25859","",
"France","FRA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","215400","211600","232500","230600","239100","246300","255700","256300","258000","262400","248400","254400","268600","241000","259900","261200","274400","314400","368200","393200","441700","408000","413700","459800","479000","482000","549900","667500","691800","748600","811776","777756","734679","695865","682263","728081","805731","825471","827851","771675","738003.426442238","754292","739353.599757151","641440","610197","607168","599427","599256","597412","598374","",
"Faroe Islands","FRO","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","11200","11200","11000","11300","11200","11300","12700","12100","11600","11800","12000","12200","12600","13100","12600","12300","12300","12500","11000","10700","10400","11300","10800","10900","12000","12000","7100","10000","10100","7300","7445","7492","7474","7990","8342","8505","8524","9057","5654","5423","7516.15985130111","3002","1553","0","","2765","2305","","","","",
"United Kingdom","GBR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","441800","432200","435200","446300","429400","397100","409300","413300","462600","476900","477500","434000","433200","435600","457900","471700","498900","522900","573300","639100","670700","615500","654600","659400","684900","724800","772300","788900","801900","840800","876158","925638","924944","891154","970036","1018118","1037032","1044883","1056206","1003893","985109.023067177","1062692","1050702.90909091","1052640","1064175.7","1104117","1180312","1182696","1242985","1061464","",
"Georgia","GEO","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300","1400","2500","1600","1600","3000","1906","1945","4239","5514","4451","4673","4861","5347","5487","5054","2803","3896","3326","2933","3317","3959","3199","5061","7108","7240","",
"Ghana","GHA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","5000","5400","5700","5600","5700","5900","6100","6000","7000","7000","5600","5100","5300","4500","4400","5800","5500","7500","12300","11800","12600","19000","15100","3200","3400","3000","3300","3500","3500","5000","4873","5892","4382","3333","3333","","","","","","5645.66956713294","10683","14902","16560","16764","20539","21628","21224","11635","15617","",
"Gibraltar","GIB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","2000","2000","2100","2200","2200","2300","2300","2300","2300","2300","2300","3500","3500","3500","3600","3600","500","900","900","900","1100","1100","700","700","1400","700","700","700","700","600","","","","","","","","","","","","","","","","","","","","","",
"Gambia, The","GMB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","140","1788","1848","35","440","625","1116","1136","",
"Guinea-Bissau","GNB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","1200","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","300","300","400","400","400","400","400","400","400","400","400","400","400","400","400","400","400","1400","400","400","400","400","400","400","400","400","600","600","","","","","","","","","","","","717.170923379175","2808","8201","19416","14136","22350","22464","20590","7930","8114","",
"Greece","GRC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","34100","39800","44500","48500","38000","42600","50600","49400","55600","57300","50300","49700","53900","58800","71600","77000","75800","78600","79200","80100","79600","69800","79200","86200","86600","89200","92400","94200","90700","94100","108584","125269","113247","114100","137676","130515","133226","137697","128287","112671","136382.257932753","125477.119829729","111870","103800","134160","124014","128454","135281","144040","151848","",
"Grenada","GRD","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greenland","GRL","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","10500","8200","8300","1800","3200","3700","4500","5000","4400","4300","3200","3100","3100","2000","2000","2200","1800","2100","2100","2300","3400","3400","4500","4600","4600","5100","5100","6400","6500","","","","","","","","","","","","8875","9148","8091","2556","2214","3012","3102","3577","3205","2623","",
"Guam","GUM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12139","11470","","","","","","","","","","","",
"Guyana","GUY","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","4000","4200","4200","4300","4400","4500","5000","5200","5200","5200","5200","6400","7100","7000","6700","6700","4500","4500","4300","3800","3800","3300","3300","3300","3300","3500","3600","3600","3600","500","418","276","","","","","","","","","9351","12231","8625","0","0","","","","1931","1578","",
"High income","HIC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","7994400","8137100","8119500","8248200","7677400","7546100","7755700","8119000","8337000","8654100","8621800","8173500","8133300","8402800","8904500","9403500","10141800","10614700","11186000","11310600","11818700","11613500","12008400","12108800","13235100","13974400","14798300","15255500","15390100","16340600.0009766","17635856","17431993","16125042","16667320","18475780","18619835","18731551","19296244","18669989","18880454","20573597.2262139","20781979.5755899","20463523.9635401","20395552.9738634","20414671.3822495","20786015","21390164","21622748.92","21904762.2083547","22260532.3981284","",
"Hong Kong SAR, China","HKG","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124500","147100","167200","181500","193700","195200","224800","234700","72400","79182","85003","91096","87070","111136","122705","130014","141372","144039","149809","158255","173112","185506.37822568","199639","215562","228582","235581","243518","245146","242173","",
"Honduras","HND","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","21300","20600","17800","18000","17800","15900","14600","13900","15500","17200","19500","13200","13600","12100","11300","11800","8100","11300","14700","15100","17100","12500","11800","13700","","","","","","","","","","","","","","","","","21574","18287","16760","26796","24216","24813","24315","9482","14832","16602","",
"Heavily indebted poor countries (HIPC)","HPC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","187100","186500","178200","180600","174400","200500","210200","188500","198400","206900","209300","207700","200600","198200","198600","192800","176500","178500","183300","180200","178500","174100","163700","149400","143800","137800","154100","159000","152500","145800","143612","137114","","","","","","","","","266822.28924497","307977.717076074","311610.290559514","329263.772","346254.152913158","345543","341547","383488","410069","415574.089","",
"Croatia","HRV","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1900","4100","9200","12000","13300","15000","16700","16800","15900","16955","18258","19340","19751","20482","22031","21641","22391","24728","24613","24766","26743","26456","24305","25161","25183","26171","26809","27189","27711","",
"Haiti","HTI","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","3200","3200","3200","3400","700","700","700","700","700","700","700","800","800","800","800","800","800","800","800","800","800","800","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","6200","3200","3000","3800","4500","4000","4300","11800","13700","15500","15600","16100","16600","15700","17000","17200","17100","17300","16200","17500","18900","16600","19800","23100","20900","21600","24900","25700","27500","30200","32297","31654","33290","40233","46837","47362","45781","51003","49795","45861","111307","120826.212389811","88801.8316511268","103080","123708","145492","137605","158454","183541","213664","",
"IBRD only","IBD","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","1339800","1412900","1494100","1511700","1533600","1670000","1726400","1754200","1886900","2042100","2160500","2166600","2227800","2310600","2357500","2377900","2433600","2438300","2619900","3665600","3739200","3842700","3957900","4036200","4013900","4172500","4153768","4656523","4566820","4498931","5092027","5409935","5898763","6495205","6647603","7024074","8626984.38679317","9291746.66555084","9826047.56235739","10529228.0930701","11355392.6525883","11974873","12689799","13419218.138","14231604.0771387","14574008.9151284","",
"IDA & IBRD total","IBT","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","1633000","1758800","1870400","1860200","1901500","2057600","2146700","2175500","2292700","2453300","2613400","2625500","2679900","2770000","2838600","2855700","2909000","2899700","3071500","4074900","4200900","4267900","4394400","4539500","4528100","4649100","4634347","5121901","4965837","4891195","5519366","5846449","6352567","6990994","7102413","7497275","9337292.29327892","10080702.7251443","10601539.9596992","11372493.9083087","12224523.2565784","12861795","13594565","14403021.138","15276297.0063046","15573970.0041284","",
"IDA total","IDA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","294200","289400","273000","310200","293200","345900","376300","348500","367900","387600","420300","421300","405800","411200","452900","458900","452100","459400","481100","477800","475400","461400","451600","409300","461700","425200","436500","503300","514200","476600","480579","465378","399017","392264","427339","436514","453804","495789","454810","473201","710307.906485754","788956.059593468","775492.397341771","843265.815238617","869130.603990131","886922","904766","983803","1044692.92916587","999961.089","",
"IDA blend","IDB","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","82100","73100","63500","85600","73100","107500","118700","120700","131100","140300","159200","153000","140200","147500","186300","198600","195700","199800","212400","216600","210600","203900","204900","174600","223700","192200","188500","276000","274600","261900","259610","253222","195329","187227","194329","206217","224301","230626","220463","218602","307973.333632891","332475.373030012","332153.24708561","338572","313928.452949339","346813","346480","341414","368667.211146022","382177.79","",
"Indonesia","IDN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","23500","24000","34200","42500","64800","74100","91600","105500","115300","120400","124800","142600","145300","143400","183000","185800","181500","190600","206100","193200","205400","215700","236900","227200","230500","262200","311200","194700","196700","135000","159027","164651","152278","155609","318488","320724","357414","357789","345240","330112","520932.081983182","599692.276092406","641182.300723356","576000","675005.895378656","682389","823735","892801","959307.381","808265","",
"IDA only","IDX","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","212100","216300","209500","224600","220100","238400","257600","227800","236800","247300","261100","268300","265600","263700","266600","260300","256400","259600","268700","261200","264800","257500","246700","234700","238000","233000","248000","227300","239600","214700","220969","212156","203688","205037","233010","230297","229503","265163","","","402334.572852862","456480.686563456","443339.150256162","504693.815238617","555202.151040793","540109","558286","642389","676025.718019853","617783.299","",
"Isle of Man","IMN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","97500","64700","96600","94300","69000","90600","94700","99000","105300","100100","100000","104600","106500","113500","120400","139900","151000","159500","157600","156300","125800","117500","120300","105300","130100","168400","151300","182500","196100","180500","198426","206690","231413","263870","302790","330484","453921","569033","592292","601977","623196.778558652","695626","678125.937793064","689094","724541.12","787998","917625","1029426","1200111.363","1209803","",
"Not classified","INX","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","29000","27500","25200","25700","27500","25800","27100","27400","27700","31100","28400","27700","26600","26300","30800","32500","33500","36600","61400","73000","79500","82400","76700","69000","70300","84000","95000","107200","122700","132700","145457","156277","177032","231296","261345","303697","350204","416205","483741","528098","601262","635065","648817.651510641","641412","658512","718059","836293","883323","935913","967456","",
"Iran, Islamic Rep.","IRN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","17100","18800","19300","22200","25100","32000","38300","41900","41100","23000","18600","11600","24900","30900","36900","27200","35200","34500","31000","36500","39900","41500","37700","41600","46500","48600","63300","83400","79600","75900","82610","141396","92621","138537","109706","121235","136075","137645","122226","133932","158014.183450955","161191.677604321","153142.822223706","161029","162563.374175832","133663","159754","225399.088","207096","186006","",
"Iraq","IRQ","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","5300","5800","6500","7300","7700","7300","8600","10100","10400","10400","8800","5500","6500","7400","6700","7900","8400","8400","12400","12600","7800","200","500","","300","","","","","","","","","","","","","","","","7692","9697","8993","4332","4332","12805","10579","18509.38","48355","30270","",
"Iceland","ISL","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","10700","11300","12500","13800","13800","14600","13200","14200","14500","14800","15000","15000","16400","15800","16200","18000","16700","18600","18400","17600","18300","17700","16900","17300","18700","19200","21600","21100","21700","14700","12589","11728","9989","9750","10832","11803","12785","14064","12431","12924","21668.3164735801","24488","26469","26643","28979","35558","41022","50389","54653.3025910987","35823","",
"Israel","ISR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","9700","19800","20600","20000","19700","8400","9200","10100","19100","18900","18500","19200","18500","18500","21100","22500","22700","21800","27800","29600","29500","29900","39100","41900","44200","48000","50000","51400","50100","51600","56427","47648","49404","46334","34152","34104","36257","47038","45309","47856","47829","47195","47073.827458256","46644","49177","49020","50548","50330","53901","47318","",
"Italy","ITA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","183500","196300","204800","184900","185100","171700","171100","166900","159700","160700","162500","152800","158900","160700","161100","174700","172400","180100","189700","214200","229400","231500","261400","265300","268900","280000","306800","321400","338200","358900","367584","393484","350552","385911","382317","445968","447749","431647","382590","382897","335280","328771.58001328","306320.503320053","258027","264899","273462","277671","243811","251621","260599","",
"Jamaica","JAM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","18600","19500","21500","13700","16100","12600","23800","19800","20100","21100","20700","19500","20000","29200","26500","27700","21600","24000","23300","25200","21300","20900","20000","20000","18700","17000","18300","12300","12500","20600","16577","24440","23343","23976","23338","21787","21133","22401","22894","16840","0","0","0","492","953","997","1128","1181","1215.272","","",
"Jordan","JOR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","4200","4400","4100","4500","5600","7000","8700","9300","10400","11900","14000","16500","17100","16200","15500","15200","14800","15000","15500","17400","14100","11000","14300","15500","16000","16800","17100","16700","15400","15900","16447","15893","16369","15354","17958","19689","26546","29415","30804","32490","39318.7915976253","40329.1978021978","39468","38998","38386","36622","38161","36946","36127","36550","",
"Japan","JPN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","277300","395100","298700","311800","320700","312700","321200","345900","369600","388500","396500","416600","417500","414300","416100","417800","433300","441500","465400","468300","476000","495800","473000","474400","489300","535900","564000","573300","636500","661800","645087","640328","647953","639866","638430","651858","670252","656917","655495","641913","934487.439462563","812928","874677","915542.658","927666","956015","984320","1035522","999594","1018436","",
"Kazakhstan","KAZ","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5900","5900","20900","10300","10300","10400","9100","8041","8398","15426","19560","11754","17302","19160","19138","19229","18832","33483","40916","44580","66108","71220","72486","73188","83048","66693","70980","",
"Kenya","KEN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","10500","10100","8900","9900","8000","12200","14500","6400","8600","8500","9300","9100","7400","8900","10100","11100","11800","12000","11700","12100","13000","11700","13200","13900","13200","13500","14400","19600","19800","25100","29080","24741","25873","27057","26218","28399","29039","32329","32045","33593","78265","84955","82576","98244","90625","96749","99428","117027","134354.484622134","138192","",
"Kyrgyz Republic","KGZ","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10400","10400","11600","13300","10400","15300","8300","6051","4942","3951","4810","5550","5228","4730","4916","3567","5459","7371","9274","7719","12189","17388","20962","23120","27055","8751","6537","",
"Cambodia","KHM","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","1300","4400","3900","4100","3800","3400","3400","3400","","","","","","","","","","","","","","","","","","","","","","","","","4648","4512","3893","3207","3998","4324","3667","3304","5104.72222222222","7191","7432","11897.0432386171","14732","12983","11933","14372","14387","14850","",
"Kiribati","KIR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","6600","6600","6700","7100","4200","3400","3000","3000","3000","2900","2900","2900","2900","2900","3000","3100","3100","3200","","","","","","","","","","","","","","","","","","","5005","5005","4388","",
"St. Kitts and Nevis","KNA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Rep.","KOR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","16000","38100","39100","39700","33100","29400","27500","30300","34000","39800","37100","34900","38900","41700","47900","49100","53100","59100","69200","143600","120100","120100","141000","163500","170300","188900","207300","229300","207900","204000","226910","228442","238649","240942","232077","221424","223735","243113","250260","256160","280427","282239","285000","360356","368132","448037","473606","499093.92","527807","549454","",
"Kuwait","KWT","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","6700","6800","6800","7000","7600","8400","9700","11600","12500","12500","12900","13400","13300","14600","14700","14200","14300","14300","15000","15600","10000","7200","14300","16200","17200","17900","19400","17200","18700","17300","17486","16682","18929","17833","19512","19142","20673","17685","17999","18191","41848","31753","28814","27305","26610","30073","33387","42782","46450","50959","",
"Latin America & Caribbean (excluding high income)","LAC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","598000","571000","587400","595700","629600","647800","670300","648900","665400","703700","783700","750800","831100","919300","954900","943300","954600","987300","951800","961300","1005700","1017000","1028400","1093600","1151200","1169200","1238100","1446100","1518200","1632300","1482106","1472022","1390177","1252950","1293901","1344207","1378361","1505639","1468254","1537477","2015497.68762511","2122728.14627181","2245218.90822526","2389218.41507694","2489886.99664724","2585008","2526209","2474418","2535755.32586535","2571892","",
"Lao PDR","LAO","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","3100","2300","2400","2500","2400","2400","2400","1800","400","400","400","400","400","400","500","500","1500","2000","2000","2100","3400","3400","3700","3700","3700","3900","3900","3900","3900","6300","6411","6652","6971","7068","8413","9002","9959","9957","10007","9793","11374","12262","15836.1286311187","16944","12732","9772","9986","9731","16299","16359","",
"Lebanon","LBN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","20200","20800","21400","22700","23800","22400","23500","21400","22800","23000","22500","19400","15200","19000","13000","11100","8200","8500","11300","6800","10300","9300","10000","9400","9900","10900","9700","10300","10100","10100","10435","10317","10808","10819","11807","12013","11274","12172","12306","13532","19882","21306","21880","23568","23580","24066","24549","25550","25740","26942","",
"Liberia","LBR","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","1400","1400","1400","1500","1500","1700","1800","7100","7600","8000","6000","2800","2800","2800","2900","2900","2300","2200","2200","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Libya","LBY","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","6200","6600","7400","8400","8800","9500","9800","11100","11100","11600","12200","13400","14900","16500","16700","16600","15400","14400","16400","17000","18200","19000","14400","9100","7100","5800","6100","6000","6000","6100","6194","5884","5884","6414","8042","13335","12657","13477","9930","9812","34878.0771737788","27770.5020633663","16514.4315772057","32064","26414","13298","10764","9686","12340","11339","",
"St. Lucia","LCA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean","LCN","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","712300","681000","695500","706800","743800","781500","804400","786700","801600","907000","983000","943200","1056500","1149700","1188600","1171500","1192600","1214500","1198200","1220900","1231900","1250000","1287400","1380200","1442900","1462700","1532800","1727100","1806500","1985500","1838871","1916893","1756505","1562182","1584616","1656212","1695244","1833458","1800913","1838212","2303571.68762511","2431147.82405656","2549816.18361562","2732986.41507694","2840587.99664724","2898758","2826420","2748629","2805821.29213874","2836721.58312836","",
"Least developed countries: UN classification","LDC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","168900","173200","167600","178100","170500","189900","211000","187300","193800","210100","225400","235300","232400","241500","233500","233200","228900","222300","224700","210200","209300","199600","193900","185500","195300","187500","198100","187400","185400","161600","170335","164604","156854","159470","180304","187173","188247","217552","185775","202446","351440.234369991","394605.2789404","391789.929869241","448045.815238617","457116.151040793","427560","441789","536718","598229.964489686","538364.299","",
"Low income","LIC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","108700","111800","99200","92900","99400","111800","128600","123000","122700","121300","123800","125600","121800","124100","126300","117800","118700","116500","112400","116500","115900","109200","109900","108400","113600","101800","109200","101600","91500","99400","111103","108810","","","","","","","","","178713.831499491","204933.101917447","195745.870088547","209546","208291.310289755","181611","186418","208832","200417.753530167","204764.299","",
"Liechtenstein","LIE","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Sri Lanka","LKA","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","4400","5200","4400","2900","4200","4400","4000","5300","3100","1700","3800","4100","3500","5400","5900","6700","5800","5800","6100","6900","7900","8200","9100","8900","8900","8900","8800","8800","9300","10100","5206","11386","10480","12603","18699","19712","20979","21020","20512","16632","20921","26052","31373","32636.4","37517","37598","40711","41012","34425","33050","",
"Lower middle income","LMC","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","532900","458000","485000","531800","507600","587000","636800","646700","677800","689500","700600","724600","726600","770100","849800","883800","896700","923900","959200","942200","919000","920900","998500","925800","999800","1069100","1143100","1117700","1131100","1019600","1071212","1148459","1069729","1159171","1385775","1445825","1644390","1789611","1795386","1860695","2565388.52106651","2826106.16558287","2905560.22608377","2919286.62223862","3227166.11728649","3367737","3781607","4056070.088","4371662.61050105","4249820.122","",
"Low & middle income","LMY","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","1503500","1620300","1729700","1714700","1761600","1863100","1957900","1977100","2077800","2226000","2372300","2396500","2438500","2542100","2592200","2595300","2683200","2666300","2812700","3770300","3889600","3953500","4072500","4218400","4195700","4265800","4234302","4609152","4525540","4505235","5153604","5460303","5958161","6578993","6690204","7118423","8980267.3143144","9699892.51959184","10229277.4601613","10976032.9083087","11834875.5968274","12503315","13233743","14037949.138","14901023.0400312","15185354.421","",
"Lesotho","LSO","Air transport, registered carrier departures worldwide","IS.AIR.DPRT","","","","","","","","","","","","","","","900","900","1000","1000","3300","4900","3100","3100","4600","3000","3100","4700","4800","3900","2200","4600","4600","4600","1900","1100","2400","1800","1400","700","2100","200","","","","","","","","","","","","","","","","","","","","","",
